tenure,Contract_Two year,TenureServicesScore,InternetType,Fiber_Monthly,InternetService_Fiber optic,IsNewCustomer,IsLongCustomer,MonthlyCharges,PaymentMethod_Electronic check,InternetService_No,Contract_One year,Partner,OnlineSecurity,PaperlessBilling,OnlineBackup,TotalServicesCount,AutomaticPayment,TechSupport,Dependents,PaymentMethod_Credit card (automatic),StreamingTV,SeniorCitizen,DeviceProtection,MultipleLines_Yes,StreamingMovies,Churn
49,0,196.0,1,0.0,0,0,1,59.6,0,0,0,1,1.0,0,1.0,4.0,1,1.0,1,1,0.0,0,0.0,0,0.0,0
30,0,90.0,1,0.0,0,0,1,55.3,0,0,0,0,1.0,1,1.0,3.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
47,0,235.0,2,99.35,1,0,1,99.35,1,0,0,1,0.0,1,1.0,5.0,0,0.0,1,0,1.0,0,0.0,1,1.0,1
1,0,1.0,1,0.0,0,1,0,30.2,1,0,0,1,0.0,0,1.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,1
72,1,576.0,1,0.0,0,0,1,90.25,0,0,0,1,1.0,1,1.0,8.0,1,1.0,0,1,1.0,0,1.0,1,1.0,0
17,0,51.0,1,0.0,0,0,0,64.7,0,0,0,0,0.0,1,0.0,3.0,0,0.0,1,0,1.0,0,0.0,0,1.0,1
71,1,426.0,2,96.35,1,0,1,96.35,0,0,0,1,1.0,1,1.0,6.0,1,1.0,0,1,0.0,1,1.0,1,0.0,0
2,0,8.0,2,95.5,1,1,0,95.5,0,0,0,1,0.0,1,0.0,4.0,1,0.0,0,1,1.0,1,1.0,0,1.0,0
27,0,135.0,1,0.0,0,0,1,66.15,0,0,1,1,1.0,0,1.0,5.0,0,1.0,1,0,0.0,0,1.0,0,0.0,0
1,0,1.0,0,0.0,0,1,0,20.2,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
1,0,1.0,1,0.0,0,1,0,45.25,0,0,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,1,0.0,0,0.0,0
72,1,432.0,2,99.9,1,0,1,99.9,0,0,0,1,1.0,0,1.0,6.0,0,1.0,1,0,1.0,0,0.0,1,0.0,0
5,0,5.0,2,69.7,1,1,0,69.7,1,0,0,0,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
46,0,92.0,2,74.8,1,0,1,74.8,0,0,0,0,0.0,1,0.0,2.0,1,0.0,0,1,0.0,0,1.0,0,0.0,0
34,0,204.0,2,106.35,1,0,1,106.35,1,0,0,0,0.0,1,1.0,6.0,0,0.0,0,0,1.0,0,1.0,1,1.0,1
11,0,55.0,2,97.85,1,0,0,97.85,0,0,0,0,0.0,1,0.0,5.0,0,0.0,0,0,1.0,0,1.0,1,1.0,1
10,0,20.0,1,0.0,0,0,0,49.55,0,0,1,1,0.0,0,1.0,2.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
70,1,350.0,1,0.0,0,0,1,69.2,0,0,0,1,1.0,1,1.0,5.0,1,0.0,1,1,1.0,0,0.0,1,0.0,0
17,0,17.0,0,0.0,0,0,0,20.75,0,1,1,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
63,1,441.0,1,0.0,0,0,1,79.85,0,0,0,0,1.0,1,1.0,7.0,1,1.0,0,1,1.0,0,1.0,1,0.0,0
13,0,78.0,1,0.0,0,0,0,76.2,1,0,0,1,1.0,1,1.0,6.0,0,1.0,0,0,1.0,0,0.0,1,0.0,0
49,0,147.0,2,84.5,1,0,1,84.5,1,0,0,0,0.0,1,0.0,3.0,0,0.0,0,0,0.0,0,0.0,1,1.0,0
2,0,4.0,1,0.0,0,1,0,49.25,0,0,0,0,0.0,0,1.0,2.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
2,0,4.0,2,80.65,1,1,0,80.65,1,0,0,0,0.0,1,0.0,2.0,0,0.0,0,0,1.0,0,0.0,0,0.0,1
52,1,312.0,1,0.0,0,0,1,79.75,0,0,0,0,1.0,1,0.0,6.0,1,1.0,0,1,1.0,0,0.0,1,1.0,0
69,1,345.0,1,0.0,0,0,1,64.15,0,0,0,1,1.0,1,0.0,5.0,1,1.0,1,1,0.0,0,1.0,1,0.0,0
43,0,172.0,2,90.25,1,0,1,90.25,1,0,0,0,0.0,1,1.0,4.0,0,0.0,0,0,1.0,1,0.0,1,0.0,0
15,0,75.0,2,99.1,1,0,0,99.1,0,0,0,0,1.0,1,1.0,5.0,1,0.0,0,1,1.0,0,0.0,0,1.0,1
25,0,125.0,1,0.0,0,0,1,69.5,0,0,0,1,1.0,1,0.0,5.0,1,1.0,0,1,1.0,1,0.0,1,0.0,0
8,0,24.0,2,80.65,1,0,0,80.65,0,0,0,1,0.0,1,1.0,3.0,1,0.0,0,1,0.0,1,0.0,1,0.0,1
60,0,360.0,1,0.0,0,0,1,74.85,0,0,1,1,1.0,1,1.0,6.0,1,1.0,1,1,0.0,1,1.0,0,1.0,0
18,0,72.0,2,95.45,1,0,0,95.45,1,0,0,0,0.0,1,0.0,4.0,0,0.0,0,0,1.0,1,0.0,1,1.0,1
63,0,315.0,2,99.65,1,0,1,99.65,0,0,1,1,1.0,1,0.0,5.0,1,0.0,1,1,1.0,0,0.0,1,1.0,0
66,0,462.0,2,108.45,1,0,1,108.45,1,0,1,1,0.0,1,1.0,7.0,0,1.0,1,0,1.0,1,1.0,1,1.0,0
34,1,68.0,0,0.0,0,0,1,24.95,0,1,0,1,0.0,0,0.0,2.0,1,0.0,1,1,0.0,0,0.0,1,0.0,0
72,1,432.0,2,107.5,1,0,1,107.5,0,0,0,0,0.0,1,0.0,6.0,1,1.0,0,1,1.0,0,1.0,1,1.0,0
47,0,235.0,2,100.5,1,0,1,100.5,1,0,0,1,0.0,1,0.0,5.0,0,0.0,0,0,1.0,0,1.0,1,1.0,0
60,0,240.0,2,89.9,1,0,1,89.9,0,0,0,0,0.0,1,1.0,4.0,0,0.0,0,0,1.0,0,0.0,1,0.0,0
72,1,216.0,1,0.0,0,0,1,42.1,0,0,0,1,1.0,0,1.0,3.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0
18,0,54.0,1,0.0,0,0,0,54.4,0,0,1,1,0.0,1,0.0,3.0,1,1.0,1,1,0.0,0,1.0,0,0.0,0
9,0,36.0,2,94.4,1,0,0,94.4,1,0,0,0,0.0,0,0.0,4.0,0,0.0,0,0,1.0,0,0.0,1,1.0,1
3,0,15.0,1,0.0,0,1,0,75.3,1,0,0,0,0.0,1,1.0,5.0,0,1.0,0,0,1.0,0,0.0,0,1.0,0
47,0,141.0,2,78.9,1,0,1,78.9,1,0,1,1,0.0,1,1.0,3.0,0,0.0,0,0,0.0,0,0.0,1,0.0,0
31,1,186.0,1,0.0,0,0,1,79.2,0,0,0,0,0.0,0,1.0,6.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0
50,1,50.0,0,0.0,0,0,1,20.15,0,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
10,0,30.0,2,79.85,1,0,0,79.85,0,0,0,0,1.0,1,0.0,3.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0
1,0,2.0,1,0.0,0,1,0,49.05,0,0,0,0,0.0,0,0.0,2.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0
52,0,52.0,0,0.0,0,0,1,20.4,1,1,1,1,0.0,1,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
64,1,448.0,2,111.6,1,0,1,111.6,0,0,0,1,1.0,1,0.0,7.0,0,1.0,1,0,1.0,1,1.0,1,1.0,0
62,1,124.0,0,0.0,0,0,1,24.25,0,1,0,1,0.0,1,0.0,2.0,0,0.0,1,0,0.0,0,0.0,1,0.0,0
3,0,12.0,1,0.0,0,1,0,64.5,0,0,0,0,1.0,1,0.0,4.0,0,1.0,1,0,0.0,0,0.0,0,1.0,0
56,0,392.0,2,110.5,1,0,1,110.5,1,0,1,0,1.0,0,1.0,7.0,0,0.0,0,0,1.0,1,1.0,1,1.0,0
46,0,92.0,1,0.0,0,0,1,55.65,0,0,1,0,0.0,0,0.0,2.0,1,0.0,0,1,0.0,0,0.0,0,1.0,0
8,0,24.0,1,0.0,0,0,0,54.65,0,0,0,1,1.0,0,1.0,3.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
30,0,150.0,1,0.0,0,0,1,74.75,1,0,0,0,1.0,1,1.0,5.0,0,0.0,0,0,1.0,1,0.0,0,1.0,0
45,0,90.0,0,0.0,0,0,1,25.9,0,1,1,1,0.0,1,0.0,2.0,1,0.0,1,1,0.0,0,0.0,1,0.0,0
1,0,2.0,2,79.35,1,1,0,79.35,1,0,0,0,0.0,1,0.0,2.0,0,0.0,1,0,1.0,0,0.0,0,0.0,1
11,0,33.0,1,0.0,0,0,0,50.55,1,0,0,1,1.0,0,0.0,3.0,0,0.0,1,0,1.0,0,0.0,0,1.0,0
7,0,14.0,2,75.15,1,0,0,75.15,0,0,0,1,0.0,1,0.0,2.0,0,0.0,0,0,0.0,0,1.0,0,0.0,1
42,0,252.0,2,103.8,1,0,1,103.8,0,0,0,0,0.0,1,1.0,6.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0
49,1,49.0,0,0.0,0,0,1,20.15,0,1,0,1,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
9,0,45.0,2,99.3,1,0,0,99.3,0,0,0,0,0.0,1,1.0,5.0,1,0.0,0,1,1.0,0,0.0,1,1.0,0
35,0,105.0,1,0.0,0,0,1,62.15,0,0,1,1,1.0,1,0.0,3.0,0,0.0,0,0,1.0,0,0.0,0,0.0,0
48,1,48.0,0,0.0,0,0,1,20.65,0,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
46,1,46.0,0,0.0,0,0,1,19.95,0,1,0,1,0.0,1,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
29,0,29.0,1,0.0,0,0,1,33.75,0,0,0,1,0.0,0,0.0,1.0,0,0.0,0,0,1.0,0,0.0,0,0.0,0
30,0,90.0,2,82.05,1,0,1,82.05,0,0,0,1,0.0,0,1.0,3.0,0,0.0,1,0,0.0,0,1.0,0,0.0,0
1,0,2.0,2,74.7,1,1,0,74.7,1,0,0,0,0.0,0,0.0,2.0,0,1.0,0,0,0.0,1,0.0,0,0.0,0
66,1,462.0,1,0.0,0,0,1,84.0,0,0,0,1,1.0,1,0.0,7.0,0,1.0,1,0,1.0,0,1.0,1,1.0,0
65,0,455.0,2,111.05,1,0,1,111.05,0,0,0,0,1.0,1,1.0,7.0,1,0.0,0,1,1.0,0,1.0,1,1.0,0
72,1,432.0,2,100.9,1,0,1,100.9,0,0,0,0,0.0,1,1.0,6.0,0,0.0,0,0,1.0,0,1.0,1,1.0,0
12,0,36.0,2,78.95,1,0,0,78.95,1,0,0,0,1.0,1,0.0,3.0,0,0.0,0,0,0.0,0,0.0,1,0.0,1
71,0,355.0,1,0.0,0,0,1,66.85,0,0,1,1,1.0,1,1.0,5.0,1,1.0,1,1,0.0,0,0.0,1,0.0,0
5,0,5.0,0,0.0,0,1,0,21.05,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
52,1,52.0,0,0.0,0,0,1,21.0,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
25,0,125.0,2,98.5,1,0,1,98.5,1,0,0,1,0.0,1,1.0,5.0,0,0.0,0,0,1.0,1,1.0,0,1.0,1
1,0,1.0,0,0.0,0,1,0,20.2,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
1,0,1.0,0,0.0,0,1,0,19.45,1,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
38,0,190.0,2,95.0,1,0,1,95.0,0,0,1,0,0.0,0,0.0,5.0,0,1.0,0,0,1.0,0,1.0,1,0.0,0
66,0,198.0,1,0.0,0,0,1,45.55,0,0,1,1,0.0,0,1.0,3.0,0,0.0,0,0,1.0,1,1.0,0,0.0,0
68,1,476.0,2,110.0,1,0,1,110.0,0,0,0,1,0.0,1,1.0,7.0,0,1.0,0,0,1.0,0,1.0,1,1.0,1
5,0,0.0,1,0.0,0,1,0,24.3,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
72,0,432.0,2,104.15,1,0,1,104.15,1,0,1,1,1.0,1,1.0,6.0,0,0.0,1,0,1.0,0,0.0,1,1.0,0
32,0,32.0,1,0.0,0,0,1,30.15,0,0,1,0,1.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
43,0,172.0,2,94.35,1,0,1,94.35,0,0,1,0,0.0,0,0.0,4.0,0,0.0,0,0,1.0,0,0.0,1,1.0,0
72,1,72.0,0,0.0,0,0,1,19.4,0,1,0,1,0.0,0,0.0,1.0,1,0.0,1,1,0.0,0,0.0,0,0.0,0
55,0,275.0,2,96.75,1,0,1,96.75,1,0,0,1,1.0,1,1.0,5.0,0,0.0,0,0,1.0,0,0.0,1,0.0,1
52,0,208.0,1,0.0,0,0,1,57.95,0,0,1,0,1.0,0,0.0,4.0,1,1.0,0,1,0.0,0,1.0,0,0.0,0
43,0,172.0,2,91.65,1,0,1,91.65,1,0,0,0,0.0,1,1.0,4.0,0,0.0,0,0,1.0,0,1.0,0,0.0,0
37,0,74.0,2,76.5,1,0,1,76.5,1,0,0,1,0.0,1,0.0,2.0,0,0.0,0,0,0.0,1,0.0,1,0.0,1
64,1,256.0,1,0.0,0,0,1,54.6,1,0,0,1,0.0,1,1.0,4.0,0,1.0,1,0,1.0,0,0.0,0,1.0,0
3,0,12.0,2,89.85,1,1,0,89.85,1,0,0,1,1.0,0,1.0,4.0,0,0.0,1,0,1.0,0,0.0,0,0.0,0
36,1,36.0,1,0.0,0,0,1,31.05,0,0,0,0,1.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
10,0,50.0,2,100.25,1,0,0,100.25,1,0,0,1,1.0,1,0.0,5.0,0,0.0,1,0,1.0,0,0.0,1,1.0,1
41,1,41.0,0,0.0,0,0,1,20.65,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
27,0,108.0,2,85.2,1,0,1,85.2,0,0,0,1,0.0,1,1.0,4.0,1,1.0,1,1,0.0,0,0.0,1,0.0,0
56,0,280.0,2,99.8,1,0,1,99.8,0,0,1,1,0.0,1,0.0,5.0,1,0.0,1,1,1.0,0,1.0,1,1.0,0
6,0,6.0,0,0.0,0,0,0,20.7,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
3,0,6.0,2,74.4,1,1,0,74.4,1,0,0,0,0.0,1,0.0,2.0,0,0.0,0,0,0.0,0,0.0,1,0.0,1
7,0,14.0,1,0.0,0,0,0,50.7,0,0,0,1,1.0,0,0.0,2.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
4,0,4.0,0,0.0,0,1,0,20.85,0,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
33,1,132.0,2,88.95,1,0,1,88.95,1,0,0,0,1.0,1,0.0,4.0,0,1.0,0,0,1.0,0,0.0,0,0.0,0
27,0,81.0,2,78.05,1,0,1,78.05,1,0,0,0,0.0,1,0.0,3.0,0,0.0,0,0,0.0,1,1.0,1,0.0,1
72,1,144.0,0,0.0,0,0,1,23.55,0,1,0,1,0.0,1,0.0,2.0,0,0.0,0,0,0.0,0,0.0,1,0.0,0
1,0,1.0,0,0.0,0,1,0,19.75,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
71,0,284.0,1,0.0,0,0,1,56.45,1,0,1,0,1.0,1,1.0,4.0,0,0.0,0,0,1.0,1,0.0,0,1.0,0
13,0,39.0,2,85.95,1,0,0,85.95,1,0,0,0,0.0,1,0.0,3.0,0,0.0,0,0,0.0,0,0.0,1,1.0,0
25,0,125.0,1,0.0,0,0,1,58.6,0,0,0,1,1.0,1,1.0,5.0,1,0.0,1,1,1.0,0,1.0,0,1.0,1
67,1,134.0,1,0.0,0,0,1,50.55,0,0,0,0,0.0,0,0.0,2.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0
1,0,1.0,1,0.0,0,1,0,35.45,1,0,0,0,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,1.0,1
2,0,2.0,1,0.0,0,1,0,44.35,1,0,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
43,1,86.0,0,0.0,0,0,1,25.7,0,1,0,0,0.0,1,0.0,2.0,1,0.0,0,1,0.0,0,0.0,1,0.0,0
23,0,46.0,2,75.0,1,0,0,75.0,0,0,0,0,1.0,1,0.0,2.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
64,1,64.0,0,0.0,0,0,1,20.2,0,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
57,1,57.0,0,0.0,0,0,1,19.6,0,1,0,0,0.0,1,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
1,0,1.0,2,70.45,1,1,0,70.45,0,0,0,1,0.0,1,0.0,1.0,0,0.0,0,0,0.0,1,0.0,0,0.0,1
72,1,576.0,1,0.0,0,0,1,88.05,0,0,0,1,1.0,1,1.0,8.0,1,1.0,1,1,1.0,1,1.0,1,1.0,0
8,0,40.0,1,0.0,0,0,0,71.15,1,0,0,0,1.0,0,0.0,5.0,0,1.0,0,0,0.0,0,0.0,1,1.0,1
61,1,305.0,2,101.05,1,0,1,101.05,0,0,0,1,0.0,1,1.0,5.0,0,0.0,0,0,1.0,0,0.0,1,1.0,0
64,0,256.0,2,84.3,1,0,1,84.3,0,0,1,0,1.0,1,1.0,4.0,1,0.0,0,1,0.0,0,0.0,1,0.0,0
71,1,142.0,0,0.0,0,0,1,23.95,0,1,0,1,0.0,0,0.0,2.0,0,0.0,0,0,0.0,1,0.0,1,0.0,0
65,1,390.0,2,99.05,1,0,1,99.05,0,0,0,1,1.0,1,1.0,6.0,1,1.0,1,1,1.0,0,0.0,1,0.0,0
3,0,3.0,0,0.0,0,1,0,19.6,0,1,1,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
1,0,1.0,1,0.0,0,1,0,45.65,1,0,0,0,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
30,0,120.0,1,0.0,0,0,1,64.5,0,0,1,0,0.0,0,1.0,4.0,1,0.0,1,1,1.0,0,1.0,0,0.0,0
15,0,75.0,1,0.0,0,0,0,69.5,0,0,0,1,0.0,1,1.0,5.0,0,1.0,1,0,0.0,0,1.0,0,1.0,0
8,0,32.0,1,0.0,0,0,0,68.55,1,0,0,1,0.0,1,0.0,4.0,0,1.0,1,0,1.0,0,0.0,0,1.0,0
7,0,28.0,2,95.0,1,0,0,95.0,0,0,0,0,0.0,0,0.0,4.0,0,0.0,0,0,1.0,0,0.0,1,1.0,1
70,0,490.0,2,108.15,1,0,1,108.15,0,0,1,1,1.0,1,1.0,7.0,1,0.0,1,1,1.0,0,1.0,1,1.0,0
62,1,434.0,1,0.0,0,0,1,86.1,1,0,0,1,1.0,0,1.0,7.0,0,1.0,1,0,1.0,0,1.0,0,1.0,0
6,0,6.0,0,0.0,0,0,0,19.7,0,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
14,0,28.0,2,80.9,1,0,0,80.9,0,0,0,1,0.0,1,0.0,2.0,0,0.0,1,0,0.0,0,0.0,0,1.0,0
22,0,66.0,2,84.15,1,0,0,84.15,0,0,0,0,0.0,1,0.0,3.0,0,0.0,0,0,1.0,0,0.0,1,0.0,0
22,0,22.0,0,0.0,0,0,0,20.15,0,1,1,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
16,1,64.0,1,0.0,0,0,0,64.25,0,0,0,1,1.0,0,0.0,4.0,0,0.0,1,0,1.0,0,1.0,0,0.0,0
10,1,20.0,0,0.0,0,0,0,25.7,0,1,0,0,0.0,0,0.0,2.0,0,0.0,0,0,0.0,0,0.0,1,0.0,0
13,0,39.0,1,0.0,0,0,0,56.0,1,0,0,0,1.0,1,1.0,3.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
20,0,60.0,2,82.4,1,0,0,82.4,1,0,0,1,1.0,0,0.0,3.0,0,0.0,0,0,0.0,0,0.0,1,0.0,1
2,0,2.0,2,69.7,1,1,0,69.7,1,0,0,0,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
53,1,318.0,1,0.0,0,0,1,73.9,0,0,0,0,0.0,1,1.0,6.0,0,1.0,0,0,0.0,0,1.0,1,1.0,0
11,0,11.0,0,0.0,0,0,0,20.6,0,1,1,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
69,1,69.0,0,0.0,0,0,1,19.9,0,1,0,1,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
4,0,4.0,2,70.9,1,1,0,70.9,0,0,0,0,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
72,1,576.0,1,0.0,0,0,1,89.05,0,0,0,1,1.0,1,1.0,8.0,0,1.0,0,0,1.0,0,1.0,1,1.0,0
58,0,174.0,1,0.0,0,0,1,45.3,1,0,0,1,0.0,1,1.0,3.0,0,0.0,0,0,0.0,1,1.0,0,1.0,1
16,0,16.0,0,0.0,0,0,0,20.4,1,1,0,1,0.0,0,0.0,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
43,0,172.0,2,84.25,1,0,1,84.25,0,0,1,1,1.0,1,0.0,4.0,0,1.0,0,0,0.0,0,1.0,0,0.0,0
2,0,12.0,2,104.4,1,1,0,104.4,1,0,0,1,0.0,1,0.0,6.0,0,1.0,0,0,1.0,0,1.0,1,1.0,1
14,1,84.0,1,0.0,0,0,0,81.95,0,0,0,1,0.0,0,1.0,6.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0
53,0,212.0,2,94.85,1,0,1,94.85,0,0,1,1,0.0,1,0.0,4.0,0,0.0,0,0,1.0,0,1.0,0,1.0,1
32,0,32.0,0,0.0,0,0,1,20.55,0,1,1,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
34,0,68.0,0,0.0,0,0,1,24.7,1,1,0,1,0.0,0,0.0,2.0,0,0.0,0,0,0.0,0,0.0,1,0.0,0
15,0,30.0,2,74.45,1,0,0,74.45,0,0,0,0,0.0,1,0.0,2.0,0,0.0,0,0,0.0,1,0.0,1,0.0,1
7,0,14.0,2,76.45,1,0,0,76.45,0,0,0,0,1.0,0,0.0,2.0,0,0.0,0,0,0.0,1,0.0,0,0.0,1
15,0,90.0,2,105.35,1,0,0,105.35,0,0,0,1,0.0,1,1.0,6.0,0,0.0,1,0,1.0,0,1.0,1,1.0,0
61,0,61.0,0,0.0,0,0,1,20.55,0,1,1,1,0.0,1,0.0,1.0,1,0.0,0,1,0.0,0,0.0,0,0.0,0
1,0,1.0,1,0.0,0,1,0,29.95,0,0,0,0,0.0,0,1.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
1,0,1.0,1,0.0,0,1,0,45.3,0,0,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
8,0,24.0,2,84.5,1,0,0,84.5,0,0,0,0,0.0,0,0.0,3.0,0,0.0,0,0,0.0,0,0.0,1,1.0,1
